VendorId,PUTime,DOTime,PassengerCount,TripDistance,RateCode,PULocationID,DOLocationID,PaymentType,FareAmount,TripTime
1,1/1/2017 12:33:57 PM,1/1/2017 12:46:09 PM,1,2,1,107,48,1,10.5,732
1,1/1/2017 12:33:57 PM,1/1/2017 12:39:54 PM,1,0.8,1,261,231,2,6,357
2,1/1/2017 12:33:57 PM,1/1/2017 12:39:35 PM,1,1.15,1,137,100,1,6,338
2,1/1/2017 12:33:57 PM,1/1/2017 12:40:20 PM,2,1.83,1,68,143,1,7.5,383
1,1/1/2017 12:33:58 PM,1/1/2017 12:38:42 PM,1,0.6,1,230,163,2,5,284
1,1/1/2017 12:33:58 PM,1/1/2017 12:37:52 PM,2,1.1,1,264,141,1,5.5,234
1,1/1/2017 12:33:58 PM,1/1/2017 12:43:39 PM,1,1.7,1,107,100,1,9,581
2,1/1/2017 12:33:58 PM,1/1/2017 12:37:43 PM,1,0.71,1,25,52,2,5,225
1,1/1/2017 12:33:59 PM,1/1/2017 1:03:34 PM,1,18.6,2,132,4,3,52,1775
2,1/1/2017 12:33:59 PM,1/1/2017 12:45:21 PM,2,1.7,1,141,143,2,9.5,682
2,1/1/2017 12:33:59 PM,1/1/2017 12:43:30 PM,5,1.75,1,162,263,1,9,571
1,1/1/2017 12:34:00 PM,1/1/2017 12:41:26 PM,1,1.1,1,226,7,1,7,446
2,1/1/2017 12:34:00 PM,1/1/2017 12:38:41 PM,1,1.28,1,107,148,2,6,281
2,1/1/2017 12:34:00 PM,1/1/2017 12:48:49 PM,1,3.81,1,170,238,2,14,889
1,1/1/2017 12:34:01 PM,1/1/2017 12:38:37 PM,2,1,1,68,48,2,5.5,276
1,1/1/2017 12:34:01 PM,1/1/2017 12:36:42 PM,1,0.7,1,48,48,2,4.5,161
1,1/1/2017 12:34:02 PM,1/1/2017 12:47:00 PM,4,4.6,1,263,79,1,16,778
2,1/1/2017 12:34:02 PM,1/1/2017 12:46:39 PM,2,2.3,1,79,186,2,10.5,757
2,1/1/2017 12:34:02 PM,1/1/2017 12:44:06 PM,6,1.66,1,141,142,1,8.5,604
2,1/1/2017 12:34:02 PM,1/1/2017 12:47:12 PM,1,6.71,1,138,112,1,20,790
1,1/1/2017 12:34:03 PM,1/1/2017 12:46:20 PM,1,7.2,1,132,28,1,21,737
2,1/1/2017 12:34:03 PM,1/1/2017 12:37:04 PM,1,0.56,1,79,4,2,4.5,181
2,1/1/2017 12:34:03 PM,1/1/2017 12:43:37 PM,3,1.81,1,239,263,1,9,574
2,1/1/2017 12:34:03 PM,1/1/2017 12:39:36 PM,1,2.27,1,141,107,2,8.5,333
2,1/1/2017 12:34:03 PM,1/1/2017 12:47:25 PM,2,3.06,1,142,249,2,11.5,802
2,1/1/2017 12:34:03 PM,1/1/2017 12:44:06 PM,1,2.06,1,100,237,1,9.5,603
1,1/1/2017 12:34:04 PM,1/1/2017 1:07:28 PM,3,18.1,2,132,48,2,52,2004
1,1/1/2017 12:34:04 PM,1/1/2017 12:46:39 PM,1,2.7,1,144,246,2,12,755
